reservation_line_id,reservation_number,reservation_line_number,reservation_creation_date,reservation_requirement_date,part_number,description,open_reservation_qty,open_reservation_value,reservation_status,reservation_source,wbs_number,requester_alias,plant_code,po_number,po_line_number,po_line_item_id,asset_code,asset_serial_number
6086029477-12,6086029477,12,2025-11-21,2026-02-19,101305120,"BRUSH, CABLE COATING NOZZLE, CCCS",2.0,430.18,05. No PO Available to Peg,MAXIMO,,06296636,3606,,,,,
6086029477-13,6086029477,13,2025-11-21,2026-02-19,101305121,"BRUSH, CABLE COATING STRAIGHT, CABLE DI~",2.0,512.5,05. No PO Available to Peg,MAXIMO,,06296636,3606,,,,,
6086029477-11,6086029477,11,2025-11-21,2026-02-19,101587158,"SET, CABLE COATING GUIDE BUSHING, .395""~",2.0,124.72,05. No PO Available to Peg,MAXIMO,,06296636,3606,,,,,
6086029477-10,6086029477,10,2025-11-21,2026-02-19,101587159,"SET, CABLE COATING GUIDE BUSHING, .482""~",2.0,133.82,05. No PO Available to Peg,MAXIMO,,06296636,3606,,,,,
6086029477-9,6086029477,9,2025-11-21,2026-02-19,101587160,"SET, CABLE COATING GUIDE BUSHING, .505""~",1.0,84.5,05. No PO Available to Peg,MAXIMO,,06296636,3606,,,,,
6086029477-8,6086029477,8,2025-11-21,2026-02-19,101587161,"SET, CABLE COATING GUIDE BUSHING, .520""~",1.0,84.51,05. No PO Available to Peg,MAXIMO,,06296636,3606,,,,,
6086029477-3,6086029477,3,2025-11-21,2026-02-19,101713138,"INSERT, AIR ONLY, 15/32"" SIZE RANGE 0.4~",3.0,116.49,05. No PO Available to Peg,MAXIMO,,06296636,3606,,,,,
6086029477-2,6086029477,2,2025-11-21,2026-02-19,101713141,"INSERT, AIR ONLY, 9/16"" SIZE RANGE 0.53~",1.0,35.63,05. No PO Available to Peg,MAXIMO,,06296636,3606,,,,,
6086029477-4,6086029477,4,2025-11-21,2026-02-19,101713143,"BRUSH, SPIRAL CABLE SIZE RANGE .320"" - ~",1.0,159.67,05. No PO Available to Peg,MAXIMO,,06296636,3606,,,,,
6086029477-5,6086029477,5,2025-11-21,2026-02-19,101713144,"BRUSH, SPIRAL CABLE SIZE RANGE .460"" - ~",2.0,305.08,05. No PO Available to Peg,MAXIMO,,06296636,3606,,,,,
6086029477-6,6086029477,6,2025-11-21,2026-02-19,101943388,"PRELUBE, 5 GALLON PAIL, CORROSION INHIB~",7.0,5546.52,05. No PO Available to Peg,MAXIMO,,06296636,3606,,,,,
6086045074-1,6086045074,1,2025-11-21,2025-11-21,106013225,1174701-150 - SLIP INSERT,2.0,1840.7312,05. No PO Available to Peg,SAP - MANUAL Reservation,,cnevarez2,3606,,,,,
6086029477-1,6086029477,1,2025-11-21,2026-02-19,101936234,OLL 52.5 Corrosion Inhibitor,436.0,5110.6612000000005,05. No PO Available to Peg,MAXIMO,,06296636,3606,,,,,
6085991085-1,6085991085,1,2025-11-20,2025-11-20,100098816,"SLEEVE;WEAR BND,COLLAR,ARC8,UD1T8,7.85",1.0,3193.2945,04. PO Available to Peg,SAP - MANUAL Reservation,,Manh,3606,4584622158,1,4584622158-1,,
6086026441-1,6086026441,1,2025-11-20,2025-11-21,100315683,ASSY OUTER LEAF CMSB-FA,2.0,1252.9828,04. PO Available to Peg,SAP - MANUAL Reservation,,ckok3,3650,4584631687,3,4584631687-3,,
6085973138-1,6085973138,1,2025-11-20,2025-12-25,100573422,"SCREW, BTN HD CAP 8-32 X 1/4 SST HEX AS~",30.0,15.276,04. PO Available to Peg,MAXIMO,,80080752,3606,4584632343,1,4584632343-1,,
6086026441-2,6086026441,2,2025-11-20,2025-11-21,100932201,SINGLE INNER LEAF,2.0,1041.6,05. No PO Available to Peg,SAP - MANUAL Reservation,,ckok3,3650,,,,,
6085973294-1,6085973294,1,2025-11-20,2026-01-01,102788822,"DPA7-AAB, DUAL PACKER, TYPE A, 7IN",4.0,61047.4564,05. No PO Available to Peg,SAP - MANUAL Reservation,J.26.014680,KKEESE,3606,,,,,
6085973156-1,6085973156,1,2025-11-20,2025-11-20,103679092,"PIN, PIVOT, 4 ARM CENTRALIZER",10.0,1574.5000000000002,04. PO Available to Peg,SAP - MANUAL Reservation,,harsh,3606,4584632353,2,4584632353-2,,
6085972658-1,6085972658,1,2025-11-20,2025-11-20,B013403,"RETAINING RING, EXT 1.188 SHAFT SST MED~",50.0,102.265,04. PO Available to Peg,SAP - MANUAL Reservation,,jpereira11,3606,4584619707,1,4584619707-1,,
6085973138-2,6085973138,2,2025-11-20,2025-12-25,B029250,"SCREW, SKT HD CAP 4-40 X 1-3/4 SST/A2-5~",30.0,30.15,04. PO Available to Peg,MAXIMO,,80080752,3606,4584632348,1,4584632348-1,,
6086009189-1,6086009189,1,2025-11-20,2025-11-20,E019328,RES 0.1ohm 1% 3W AXIAL WIREWOUND RoHS,10.0,35.987,04. PO Available to Peg,SAP - MANUAL Reservation,,SANTOSO,3606,4584632348,2,4584632348-2,,
6085915834-3,6085915834,3,2025-11-19,2025-11-19,100323783,CELL:LOAD;DRY,4.0,39736.44,06. No PO Available to Peg fully (Only Partial available,SAP - MANUAL Reservation,,ckok3,3610,,,,,
6085915884-9,6085915884,9,2025-11-19,2025-11-19,100364485,O-RING INSTALLATION & EXTRACTION TOOLS,2.0,191.3788,05. No PO Available to Peg,SAP - MANUAL Reservation,,Poonam,3606,,,,,
6085924425-1,6085924425,1,2025-11-19,2025-11-28,100499417,"SCREW, SKT HD CAP 2-56 X 1/4 STL 12.9 A~",100.0,72.49,05. No PO Available to Peg,SAP - MANUAL Reservation,,Jerico,3606,,,,,
6085915884-13,6085915884,13,2025-11-19,2025-11-19,101491929,PROTECTIVE WASHER,2.0,372.39940000000007,05. No PO Available to Peg,SAP - MANUAL Reservation,,Poonam,3606,,,,,
6085915834-1,6085915834,1,2025-11-19,2025-11-19,101738059,"FINGER GUARD, 24"" SHEAVE WHEEL",4.0,597.8812,04. PO Available to Peg,SAP - MANUAL Reservation,,ckok3,3610,4584631685,8,4584631685-8,,
6085915834-2,6085915834,2,2025-11-19,2025-11-19,101795665,"FINGER GUARD, 17"" SHEAVE WHEEL",2.0,318.4778,04. PO Available to Peg,SAP - MANUAL Reservation,,ckok3,3610,4584631685,9,4584631685-9,,
6085915884-3,6085915884,3,2025-11-19,2025-11-19,B011210,"SCREW:CAP;SCKT,0.25 IN-20 TPI,0.625 IN",50.0,26.0,03. SOH available to Partial Pegging - No PO Available to Peg,SAP - MANUAL Reservation,,Poonam,3606,,,,,
6085915884-1,6085915884,1,2025-11-19,2025-11-19,B013281,"SCREW:CAP;SCKT,0.25 IN-20 TPI,0.75 IN",20.0,19.2,01. SOH Available to Peg,SAP - MANUAL Reservation,,Poonam,3606,,,,,
6085915884-8,6085915884,8,2025-11-19,2025-11-19,B029683,"WIPES, LINTFREE, FABRIC, BOX (APPROX QT~",1.0,357.1262,05. No PO Available to Peg,SAP - MANUAL Reservation,,Poonam,3606,,,,,
6085915884-7,6085915884,7,2025-11-19,2025-11-19,B032171,"SCREW, SKT HD CAP 1/4-20 X 2-1/2 SST/A2~",20.0,359.79999999999995,02. SOH available to Partial Pegging - PO Available to Peg,SAP - MANUAL Reservation,,Poonam,3606,4584616194,1,4584616194-1,,
6085915884-11,6085915884,11,2025-11-19,2025-11-19,B073854,COMPOUND:THREAD LOCKING;THREADLOCKER,2.0,150.2408,05. No PO Available to Peg,SAP - MANUAL Reservation,,Poonam,3606,,,,,
6085915884-14,6085915884,14,2025-11-19,2025-11-19,B077441,"WRENCH,ALLEN SCREW, 6MM  EXPERT HANDLE",3.0,26.974200000000003,05. No PO Available to Peg,SAP - MANUAL Reservation,,Poonam,3606,,,,,
6085915884-15,6085915884,15,2025-11-19,2025-11-19,B077442,"WRENCH,ALLEN SCREW, 8MM  EXPERT HANDLE",3.0,28.3209,05. No PO Available to Peg,SAP - MANUAL Reservation,,Poonam,3606,,,,,
6085915884-4,6085915884,4,2025-11-19,2025-11-19,B077477,"RETAINING RING,INT,BASIC 0.438  BORE SS~",30.0,83.415,05. No PO Available to Peg,SAP - MANUAL Reservation,,Poonam,3606,,,,,
6085915884-10,6085915884,10,2025-11-19,2025-11-19,E080168,NATURAL MULTI-FILAMENT STRING MILLECAPI~,5.0,0.0,05. No PO Available to Peg,SAP - MANUAL Reservation,,Poonam,3606,,,,,
6085915884-12,6085915884,12,2025-11-19,2025-11-19,E081121,MICRONECTEUR EXTRACTION TOOL,1.0,690.4216,05. No PO Available to Peg,SAP - MANUAL Reservation,,Poonam,3606,,,,,
6085915884-5,6085915884,5,2025-11-19,2025-11-19,P486701,STAB. SOURCE HOLDER,2.0,712.7594,05. No PO Available to Peg,SAP - MANUAL Reservation,,Poonam,3606,,,,,
6085915884-6,6085915884,6,2025-11-19,2025-11-19,P679756,STAB. SOURCE HOLDER,2.0,695.7682000000001,05. No PO Available to Peg,SAP - MANUAL Reservation,,Poonam,3606,,,,,
6085915884-2,6085915884,2,2025-11-19,2025-11-19,B017192,"SCREW:CAP;SCKT,#6-32 TPI,0.625 IN,304",50.0,16.830000000000002,05. No PO Available to Peg,SAP - MANUAL Reservation,,Poonam,3606,,,,,
6085860515-1,6085860515,1,2025-11-18,2025-11-18,101105322,"CAGE-C, 7.000 OD X 20 L, FOR 3-3/8 TOOL",6.0,2847.1068,04. PO Available to Peg,SAP - MANUAL Reservation,,FHERWANTO,3606,4584624236,1,4584624236-1,,
6085860515-2,6085860515,2,2025-11-18,2025-11-18,101105327,"CAGE-C, 7.000 OD X 20 L, FOR 3-5/8 TOOL",15.0,6463.05,02. SOH available to Partial Pegging - PO Available to Peg,SAP - MANUAL Reservation,,FHERWANTO,3606,4584624233,2,4584624233-2,,
6085876383-1,6085876383,1,2025-11-18,2025-11-18,101325024,"TRANSMITTER SUB, DIPOLE, SLDP",1.0,14015.7233,04. PO Available to Peg,SAP - MANUAL Reservation,,harsh,3606,4584632542,2,4584632542-2,,
6085876383-2,6085876383,2,2025-11-18,2025-11-18,101325044,"PROTECTION SLEEVE, TRANSMITTER CANISTER~",2.0,304.686,04. PO Available to Peg,SAP - MANUAL Reservation,,harsh,3606,4584632357,6,4584632357-6,,
6085860266-1,6085860266,1,2025-11-18,2025-11-18,101427057,"PWA, WIRED CIRCUIT BOARD ASSY, ECRI",2.0,2678.7572,04. PO Available to Peg,SAP - MANUAL Reservation,,Elodie,3610,4584632051,2,4584632051-2,,
6085860515-7,6085860515,7,2025-11-18,2025-11-18,101738059,"FINGER GUARD, 24"" SHEAVE WHEEL",6.0,1029.9642,04. PO Available to Peg,SAP - MANUAL Reservation,,FHERWANTO,3606,4584624189,2,4584624189-2,,
6085860515-6,6085860515,6,2025-11-18,2025-11-18,101795665,"FINGER GUARD, 17"" SHEAVE WHEEL",6.0,1178.6021999999998,04. PO Available to Peg,SAP - MANUAL Reservation,,FHERWANTO,3606,4584624189,3,4584624189-3,,
6085860266-6,6085860266,6,2025-11-18,2025-11-18,102089807,ECRD-H LOW TEMP SLS-1 KIT,1.0,1567.8603000000005,04. PO Available to Peg,SAP - MANUAL Reservation,,Elodie,3610,4584631685,2,4584631685-2,,
6085860266-7,6085860266,7,2025-11-18,2025-11-18,102089828,ECRD-H HIGH TEMP SLS-1 KIT,1.0,1781.8315,04. PO Available to Peg,SAP - MANUAL Reservation,,Elodie,3610,4584631685,3,4584631685-3,,
6085860266-8,6085860266,8,2025-11-18,2025-11-18,102089830,ECRD-H LOW TEMP SLS-2 KIT,2.0,441.5702,04. PO Available to Peg,SAP - MANUAL Reservation,,Elodie,3610,4584631685,4,4584631685-4,,
6085860266-9,6085860266,9,2025-11-18,2025-11-18,102089831,ECRD-H HIGH TEMP SLS-2 KIT,2.0,953.398,05. No PO Available to Peg,SAP - MANUAL Reservation,,Elodie,3610,,,,,
6085860266-4,6085860266,4,2025-11-18,2025-11-18,102089842,ECRD-G SLS-1 KIT,2.0,2989.1916,04. PO Available to Peg,SAP - MANUAL Reservation,,Elodie,3610,4584632051,3,4584632051-3,,
6085860266-5,6085860266,5,2025-11-18,2025-11-18,102089843,ECRD-G SLS-2 KIT,4.0,863.2492,04. PO Available to Peg,SAP - MANUAL Reservation,,Elodie,3610,4584631685,5,4584631685-5,,
6085860266-3,6085860266,3,2025-11-18,2025-11-18,102753682,ECRD-E SLS2 KIT,4.0,865.2688,04. PO Available to Peg,SAP - MANUAL Reservation,,Elodie,3610,4584631685,1,4584631685-1,,
6085887404-1,6085887404,1,2025-11-18,2025-11-18,J970895,"CAGE-C, 7.750 OD X 22 L, FOR 3-3/8 TOOL",6.0,2289.9528,04. PO Available to Peg,SAP - MANUAL Reservation,,FHERWANTO,3606,4584624236,2,4584624236-2,,
6085860515-3,6085860515,3,2025-11-18,2025-11-18,J970896,"CAGE-C, 9.000 OD X 22 L, FOR 3-3/8 TOOL",6.0,1862.757,04. PO Available to Peg,SAP - MANUAL Reservation,,FHERWANTO,3606,4584624189,1,4584624189-1,,
6085887404-2,6085887404,2,2025-11-18,2025-11-18,J970902,"CAGE-C, 7.750 OD X 20 L, FOR 3-5/8 TOOL",6.0,2302.1334,04. PO Available to Peg,SAP - MANUAL Reservation,,FHERWANTO,3606,4584624236,3,4584624236-3,,
6085860515-4,6085860515,4,2025-11-18,2025-11-18,J970903,"CAGE-C, 9.000 OD X 22 L, FOR 3-5/8 TOOL",6.0,2412.3882000000003,04. PO Available to Peg,SAP - MANUAL Reservation,,FHERWANTO,3606,4584624233,3,4584624233-3,,
6085860515-5,6085860515,5,2025-11-18,2025-11-18,P230861,SPRING WITH RUBBER PAD,25.0,12970.865,04. PO Available to Peg,SAP - MANUAL Reservation,,FHERWANTO,3606,4584624233,1,4584624233-1,,
6085860266-2,6085860266,2,2025-11-18,2025-11-18,100377734,"WIRED TERMINAL BOARD ASSY, PERFO OPTION",1.0,1713.0091000000002,04. PO Available to Peg,SAP - MANUAL Reservation,,Elodie,3610,4584631685,6,4584631685-6,,
6085822383-5,6085822383,5,2025-11-17,2025-11-17,100244318,"REPAIR-KIT,2X1 ULT-150 PLUG VALVE",10.0,2449.8,02. SOH available to Partial Pegging - PO Available to Peg,SAP - MANUAL Reservation,,BMM: Ramadha,3606,4584628826,1,4584628826-1,,
6085804562-2,6085804562,2,2025-11-17,2025-11-17,100353269,DRY LOADCELL ASSEMBLY,3.0,14831.79,05. No PO Available to Peg,SAP - MANUAL Reservation,,ckok3,3610,,,,,
6085831230-1,6085831230,1,2025-11-17,2025-11-17,100818466,"BLANK DOG, INNER, MSPS",2.0,6729.346,04. PO Available to Peg,SAP - MANUAL Reservation,J.26.012966,03966439,3606,4584616330,1,4584616330-1,,
6085831230-2,6085831230,2,2025-11-17,2025-11-17,100818800,"BLANK DOG, OUTER, MSPS",2.0,4854.150000000001,04. PO Available to Peg,SAP - MANUAL Reservation,J.26.012966,03966439,3606,4584616330,2,4584616330-2,,
6085804908-1,6085804908,1,2025-11-17,2025-11-17,100925909,IC I/F TRANSCEIVER 3.3V RS-485 SOIC-8 R~,10.0,2117.803,04. PO Available to Peg,SAP - MANUAL Reservation,,SANTOSO,3606,4584629413,1,4584629413-1,,
6085804246-2,6085804246,2,2025-11-17,2025-11-17,101083087,"H2S RESISTANT FLEXIBLE WEAKPOINT, 9000-~",4.0,6602.9516,05. No PO Available to Peg,SAP - MANUAL Reservation,,jpereira11,3606,,,,,
6085822383-3,6085822383,3,2025-11-17,2025-11-17,101379318,"REPAIR-KIT,3X3 ULT-150 PLUG VALVE (STAN~",14.0,14223.02,02. SOH available to Partial Pegging - PO Available to Peg,SAP - MANUAL Reservation,,BMM: Ramadha,3606,4584628789,1,4584628789-1,,
6085822383-4,6085822383,4,2025-11-17,2025-11-17,101421187,"KIT, ULT PLUG VALVE, 2 ULT150 1.75 BORE~",6.0,2503.7670000000003,01. SOH Available to Peg,SAP - MANUAL Reservation,,BMM: Ramadha,3606,,,,,
6085822383-1,6085822383,1,2025-11-17,2025-11-17,101608197,"KIT;REPR,3 IN 15K SWVL",40.0,1927.2,02. SOH available to Partial Pegging - PO Available to Peg,SAP - MANUAL Reservation,,BMM: Ramadha,3606,4584616557,1,4584616557-1,,
6085804686-2,6085804686,2,2025-11-17,2025-11-19,101732140,UPM-BA/BC RTV APPLICATION AND CLEANING ~,1.0,240.8932,05. No PO Available to Peg,MAXIMO,,06296636,3606,,,,,
6085804562-3,6085804562,3,2025-11-17,2025-11-17,102931791,"FISHING NECK ASSEMBLY, 7-46 AND 7-48 CA~",4.0,6637.52,06. No PO Available to Peg fully (Only Partial available,SAP - MANUAL Reservation,,ckok3,3610,,,,,
6085804686-1,6085804686,1,2025-11-17,2026-02-15,103281518,"KIT, FILTER ASSEMBLY, UPM",5.0,289.029,05. No PO Available to Peg,MAXIMO,,06296636,3606,,,,,
6085822383-7,6085822383,7,2025-11-17,2025-11-17,415478000,SEAL:RING,20.0,33.2,05. No PO Available to Peg,SAP - MANUAL Reservation,,BMM: Ramadha,3606,,,,,
6085822383-6,6085822383,6,2025-11-17,2025-11-17,431044000,"RING,SEAL UNION 3 IN FIG 1502 15000 LB,~",30.0,80.388,01. SOH Available to Peg,SAP - MANUAL Reservation,,BMM: Ramadha,3606,,,,,
6085822383-2,6085822383,2,2025-11-17,2025-11-17,596770000,"KIT,REPAIR LONG SWEEP 2IN SWIVEL JOINT,~",20.0,1036.2,01. SOH Available to Peg,SAP - MANUAL Reservation,,BMM: Ramadha,3606,,,,,
6085809346-1,6085809346,1,2025-11-17,2026-02-15,E043495,FUSE  15A 32V FAST-ACTING AXIAL,16.0,23.5088,05. No PO Available to Peg,MAXIMO,,06296636,3606,,,,,
6085804943-1,6085804943,1,2025-11-17,2025-11-17,P184713,"RING;CONT,2.78 IN,2.78 IN",8.0,68.2976,04. PO Available to Peg,SAP - MANUAL Reservation,,AROW2,3610,4584612041,2,4584612041-2,,
6085804246-1,6085804246,1,2025-11-17,2025-11-17,T6040579,"EXTENDER, TRANSFER, LENGTH 6.60, HOOK X~",20.0,641.4,05. No PO Available to Peg,SAP - MANUAL Reservation,,jpereira11,3606,,,,,
6085804686-3,6085804686,3,2025-11-17,2026-02-19,101732140,UPM-BA/BC RTV APPLICATION AND CLEANING ~,1.0,240.8932,05. No PO Available to Peg,MAXIMO,,06296636,3606,,,,,
6085800894-1,6085800894,1,2025-11-17,2025-11-17,102053009,GRS PUMP CLIMAX ROCKET 280 AIR POWERED,1.0,3313.0874,04. PO Available to Peg,SAP - MANUAL Reservation,,CESAR,3606,4584617285,1,4584617285-1,,
6085810599-2,6085810599,2,2025-11-17,2026-02-15,103389296,"KIT, FCO-14, MAPC",2.0,133.18,05. No PO Available to Peg,MAXIMO,,80045394,3606,,,,,
6085804689-1,6085804689,1,2025-11-17,2026-02-15,103612818,"KIT, CAPACITOR REPLECMENT, UPM-BA",25.0,6275.567499999999,05. No PO Available to Peg,MAXIMO,,06296636,3606,,,,,
6085804562-1,6085804562,1,2025-11-17,2025-11-17,H701907,"OUTER HOUSING, LEH-QC",2.0,564.207,05. No PO Available to Peg,SAP - MANUAL Reservation,,ckok3,3610,,,,,
6085804841-2,6085804841,2,2025-11-17,2026-02-15,103450350,THERMAL KIT FOR HRCCx04,15.0,20039.1,05. No PO Available to Peg,MAXIMO,,06296636,3606,,,,,
6085804569-1,6085804569,1,2025-11-17,2026-02-15,103281174,UPM BIAS CAN UPGRADE RETROFIT KIT,25.0,10808.7375,05. No PO Available to Peg,MAXIMO,,80045394,3606,,,,,
6085800893-1,6085800893,1,2025-11-16,2025-11-17,102053009,GRS PUMP CLIMAX ROCKET 280 AIR POWERED,1.0,3313.0874,04. PO Available to Peg,SAP - MANUAL Reservation,,CESAR,3606,4584617285,1,4584617285-1,,
6085775618-1,6085775618,1,2025-11-16,2025-11-16,E084310,DIODE DUAL RECTIFIER 400V 100A SOT-227,16.0,415.936,05. No PO Available to Peg,SAP - MANUAL Reservation,,SANTOSO,3606,,,,,
6085768217-1,6085768217,1,2025-11-16,2025-11-16,H259201,"PLUG, FILL PORT",9.0,369.7596,04. PO Available to Peg,SAP - MANUAL Reservation,,SANTOSO,3606,4584629370,2,4584629370-2,,
6085709482-1,6085709482,1,2025-11-15,2025-11-15,H345042,"PLUG ASSY, INTERM, 5-1/2 IN CSG, 1-11/1~",4.0,29120.1832,04. PO Available to Peg,SAP - MANUAL Reservation,,ckok3,3610,4584624063,1,4584624063-1,,
6085709480-1,6085709480,1,2025-11-14,2025-11-15,100315688,ASSY INNER LEAF CMSB-FA,2.0,1392.6563999999998,04. PO Available to Peg,SAP - MANUAL Reservation,,ckok3,3650,4584612047,1,4584612047-1,,
6085671225-1,6085671225,1,2025-11-14,2025-11-14,101756337,"KIT, MRDU-XX RCM SP1",6.0,2015.4672,04. PO Available to Peg,SAP - MANUAL Reservation,,DDAET,3606,4584619707,2,4584619707-2,,
6085695424-11,6085695424,11,2025-11-14,2025-11-14,103084251,PLUG,4.0,400.4992,05. No PO Available to Peg,SAP - MANUAL Reservation,J.26.019998,FHERWANTO,3606,,,,,
6085695424-10,6085695424,10,2025-11-14,2025-11-14,103084320,LEAF SPRING,4.0,293.83520000000004,05. No PO Available to Peg,SAP - MANUAL Reservation,J.26.019998,FHERWANTO,3606,,,,,
6085695424-2,6085695424,2,2025-11-14,2025-11-14,B079413,"OPTICAL GEL, 1CC SYRINGE",5.0,678.9,02. SOH available to Partial Pegging - PO Available to Peg,SAP - MANUAL Reservation,J.26.019998,FHERWANTO,3606,4584632353,5,4584632353-5,,
6085695424-1,6085695424,1,2025-11-14,2025-11-14,B827115,"OIL, SILICONE VISCOSITY 50 CST - 1 KG C~",2.0,284.08000000000004,04. PO Available to Peg,SAP - MANUAL Reservation,J.26.019998,FHERWANTO,3606,4584632353,3,4584632353-3,,
6085671222-5,6085671222,5,2025-11-14,2025-11-14,H348323,"FILTER, .018, SRLH",2.0,846.3038000000001,05. No PO Available to Peg,SAP - MANUAL Reservation,,DDAET,3606,,,,,
6085709480-2,6085709480,2,2025-11-14,2025-11-15,H357086,"KIT, STANDOFF, 1.0"" SNV, 6"" OD, MOLDED",2.0,782.9388,04. PO Available to Peg,SAP - MANUAL Reservation,,ckok3,3650,4584612046,1,4584612046-1,,
6085671222-4,6085671222,4,2025-11-14,2025-11-14,H434706,"FILTER, .018",2.0,989.992,05. No PO Available to Peg,SAP - MANUAL Reservation,,DDAET,3606,,,,,
6085695424-5,6085695424,5,2025-11-14,2025-11-14,P489712,"3-1/2"" INCHES DIAMETER SPINNER ASS'Y",2.0,1501.92,02. SOH available to Partial Pegging - PO Available to Peg,SAP - MANUAL Reservation,J.26.019998,FHERWANTO,3606,4584632353,6,4584632353-6,,
6085695424-4,6085695424,4,2025-11-14,2025-11-14,P489713,"2-1/2"" INCHES DIAMETER SPINNER ASS'Y",2.0,1534.8,02. SOH available to Partial Pegging - PO Available to Peg,SAP - MANUAL Reservation,J.26.019998,FHERWANTO,3606,4584632353,7,4584632353-7,,
6085695424-6,6085695424,6,2025-11-14,2025-11-14,P780820,CABLE PROTECTOR,8.0,96.64,02. SOH available to Partial Pegging - PO Available to Peg,SAP - MANUAL Reservation,J.26.019998,FHERWANTO,3606,4584632353,4,4584632353-4,,
6085695424-9,6085695424,9,2025-11-14,2025-11-14,P784596,PSOI (PSP) DIFFERENTIAL PRESSURE SENSOR,2.0,3186.6796,04. PO Available to Peg,SAP - MANUAL Reservation,J.26.019998,FHERWANTO,3606,4584632535,3,4584632535-3,,
6085695424-7,6085695424,7,2025-11-14,2025-11-14,P786340,"TIP , SETTING TOOL",3.0,207.66,02. SOH available to Partial Pegging - PO Available to Peg,SAP - MANUAL Reservation,J.26.019998,FHERWANTO,3606,4584632353,8,4584632353-8,,
