sap_wbs_raw,wbs_source,project_number,operation_number,ops_activity_number,wbs_name,client_name,rig,ops_district,location,sub_business_line_raw
J.26.022208,Operation Activity,P.1074004,O.1074004.08,A.1074004.08.02,Origin Dedicated OH Aug 2026,AUSTRALIA PACIFIC LNG PTY LTD,SAVANNA DRILLING #449,Roma WL,,WL Evaluation Services
J.26.022207,Operation Activity,P.1074004,O.1074004.08,A.1074004.08.01,Origin Dedicated OH Jul 2026,AUSTRALIA PACIFIC LNG PTY LTD,SAVANNA DRILLING #449,Roma WL,,WL Evaluation Services
J.26.022206,Operation Activity,P.1074004,O.1074004.07,A.1074004.07.03,Origin Dedicated OH Jun 2026,AUSTRALIA PACIFIC LNG PTY LTD,SAVANNA DRILLING #449,Roma WL,,WL Evaluation Services
J.26.022205,Operation Activity,P.1074004,O.1074004.07,A.1074004.07.02,Origin Dedicated OH May 2026,AUSTRALIA PACIFIC LNG PTY LTD,SAVANNA DRILLING #449,Roma WL,,WL Evaluation Services
J.26.022204,Operation Activity,P.1074004,O.1074004.07,A.1074004.07.01,Origin Dedicated OH Apr 2026,AUSTRALIA PACIFIC LNG PTY LTD,SAVANNA DRILLING #449,Roma WL,,WL Evaluation Services
J.26.022203,Operation Activity,P.1074004,O.1074004.06,A.1074004.06.03,Origin Dedicated OH Mar 2026,AUSTRALIA PACIFIC LNG PTY LTD,SAVANNA DRILLING #449,Roma WL,,WL Evaluation Services
J.26.022202,Operation Activity,P.1074004,O.1074004.06,A.1074004.06.02,Origin Dedicated OH Feb  2026,AUSTRALIA PACIFIC LNG PTY LTD,SAVANNA DRILLING #449,Roma WL,,WL Evaluation Services
J.25.181371,Operation Activity,P.1074004,O.1074004.06,A.1074004.06.01,Origin Dedicated OH Jan 2026,AUSTRALIA PACIFIC LNG PTY LTD,SAVANNA DRILLING #449,Roma WL,,WL Evaluation Services
J.25.177319,Operation Activity,P.1074004,O.1074004.05,A.1074004.05.04,Origin Adhoc Nov 2025- No RO,AUSTRALIA PACIFIC LNG PTY LTD,RIGLESS - AUSTRALIA,Roma WL,,WL Evaluation Services
J.25.157843,Operation Activity,P.1074004,O.1074004.05,A.1074004.05.02,Origin Adhoc Nov 2025,AUSTRALIA PACIFIC LNG PTY LTD,RIGLESS - AUSTRALIA,Roma WL,,WL Evaluation Services
J.25.157841,Operation Activity,P.1074004,O.1074004.05,A.1074004.05.01,Origin Adhoc Oct 2025,AUSTRALIA PACIFIC LNG PTY LTD,RIGLESS - AUSTRALIA,Roma WL,,WL Evaluation Services
J.25.157845,Operation Activity,P.1074004,O.1074004.05,A.1074004.05.03,Origin Adhoc Dec 2025,AUSTRALIA PACIFIC LNG PTY LTD,RIGLESS - AUSTRALIA,Roma WL,,WL Evaluation Services
J.25.151076,Operation Activity,P.1074004,O.1074004.04,A.1074004.04.03,Peat 448,AUSTRALIA PACIFIC LNG PTY LTD,RIGLESS - AUSTRALIA,Roma WL,,WL Production Services
J.25.151075,Operation Activity,P.1074004,O.1074004.04,A.1074004.04.02,Peat 450,AUSTRALIA PACIFIC LNG PTY LTD,RIGLESS - AUSTRALIA,Roma WL,,WL Production Services
J.25.151074,Operation Activity,P.1074004,O.1074004.04,A.1074004.04.01,Peat 449,AUSTRALIA PACIFIC LNG PTY LTD,RIGLESS - AUSTRALIA,Roma WL,,WL Production Services
J.25.125549,Operation Activity,P.1074004,O.1074004.03,A.1074004.03.03,Origin Dedicated OH Dec 2025,AUSTRALIA PACIFIC LNG PTY LTD,SAVANNA DRILLING #449,Roma WL,,WL Evaluation Services
J.25.125548,Operation Activity,P.1074004,O.1074004.03,A.1074004.03.02,Origin Dedicated OH Nov 2025,AUSTRALIA PACIFIC LNG PTY LTD,SAVANNA DRILLING #449,Roma WL,,WL Evaluation Services
J.26.022212,Operation Activity,P.1074004,O.1074004.03,A.1074004.03.06,Origin Dedicated OH Dec 2026,AUSTRALIA PACIFIC LNG PTY LTD,SAVANNA DRILLING #449,Roma WL,,WL Evaluation Services
J.26.022211,Operation Activity,P.1074004,O.1074004.03,A.1074004.03.05,Origin Dedicated OH Nov 2026,AUSTRALIA PACIFIC LNG PTY LTD,SAVANNA DRILLING #449,Roma WL,,WL Evaluation Services
J.26.022210,Operation Activity,P.1074004,O.1074004.03,A.1074004.03.04,Origin Dedicated OH Oct 2026,AUSTRALIA PACIFIC LNG PTY LTD,SAVANNA DRILLING #449,Roma WL,,WL Evaluation Services
J.25.125547,Operation Activity,P.1074004,O.1074004.03,A.1074004.03.01,Origin Dedicated OH Oct 2025,AUSTRALIA PACIFIC LNG PTY LTD,SAVANNA DRILLING #449,Roma WL,,WL Evaluation Services
J.25.125543,Operation Activity,P.1074004,O.1074004.02,A.1074004.02.01,Origin Dedicated OH Aug 2025,AUSTRALIA PACIFIC LNG PTY LTD,SAVANNA DRILLING #449,Roma WL,,WL Evaluation Services
J.25.125545,Operation Activity,P.1074004,O.1074004.02,A.1074004.02.02,Origin Dedicated OH Sep 2025,AUSTRALIA PACIFIC LNG PTY LTD,SAVANNA DRILLING #449,Roma WL,,WL Evaluation Services
J.25.125540,Operation Activity,P.1074004,O.1074004.01,A.1074004.01.03,Origin Adhoc Sep 2025,AUSTRALIA PACIFIC LNG PTY LTD,SAVANNA DRILLING #449,Roma WL,,WL Evaluation Services
J.25.125539,Operation Activity,P.1074004,O.1074004.01,A.1074004.01.02,Origin Adhoc Aug 2025,AUSTRALIA PACIFIC LNG PTY LTD,SAVANNA DRILLING #449,Roma WL,,WL Evaluation Services
J.25.125538,Operation Activity,P.1074004,O.1074004.01,A.1074004.01.01,Origin Adhoc July 2025,AUSTRALIA PACIFIC LNG PTY LTD,SAVANNA DRILLING #449,Roma WL,,WL Evaluation Services
J.26.012966,Operation Activity,P.1073765,O.1073765.02,A.1073765.02.01,BEL | TW1 | WLPS | Intervention,BEACH ENERGY (OPERATIONS) LTD,TRANSOCEAN EQUINOX,New Burn WL,,WL Production Services
J.26.013777,Operation Activity,P.1073765,O.1073765.02,A.1073765.02.02,BEL | La Bella 2 | WLPS | Intervention,BEACH ENERGY (OPERATIONS) LTD,TRANSOCEAN EQUINOX,New Burn WL,,WL Production Services
J.26.013779,Operation Activity,P.1073765,O.1073765.02,A.1073765.02.04,BEL | Hercules 1 | WLPS | Intervention,BEACH ENERGY (OPERATIONS) LTD,TRANSOCEAN EQUINOX,New Burn WL,,WL Production Services
J.26.013778,Operation Activity,P.1073765,O.1073765.02,A.1073765.02.03,BEL | Artisan 1 | WLPS | Intervention,BEACH ENERGY (OPERATIONS) LTD,TRANSOCEAN EQUINOX,New Burn WL,,WL Production Services
J.25.122286,Operation Activity,P.1073765,O.1073765.01,A.1073765.01.03,BEL | TSX Equinox | WLES_8.5in OH_Hercules-1,BEACH ENERGY (OPERATIONS) LTD,TRANSOCEAN EQUINOX,New Burn WL,,WL Evaluation Services
J.25.143786,Operation Activity,P.1073765,O.1073765.01,A.1073765.01.04,BEL | TSX Equinox | WLPS EPLG - White IBIS-1,BEACH ENERGY (OPERATIONS) LTD,TRANSOCEAN EQUINOX,New Burn WL,,WL Production Services
J.25.122275,Operation Activity,P.1073765,O.1073765.01,A.1073765.01.02,BEL | TSX Equniox | WLPS EPLG - Thyacline-1,BEACH ENERGY (OPERATIONS) LTD,TRANSOCEAN EQUINOX,New Burn WL,,WL Production Services
J.25.122274,Operation Activity,P.1073765,O.1073765.01,A.1073765.01.01,BEL | TSX Equinox | WLPS EPLG - Geographe 1,BEACH ENERGY (OPERATIONS) LTD,TRANSOCEAN EQUINOX,New Burn WL,,WL Production Services
J.26.012965,Operation Activity,P.1072420,O.1072420.02,A.1072420.02.01,Amplitude Energy | TSX Equinox | Intervention,AMPLITUDE ENERGY LTD,TRANSOCEAN EQUINOX,New Burn WL,,WL Production Services
J.25.103333,Operation Activity,P.1072420,O.1072420.01,A.1072420.01.01,Amplitude Energy | TSX Equinox | Elanora-1,AMPLITUDE ENERGY LTD,TRANSOCEAN EQUINOX,New Burn WL,,WL Evaluation Services
J.26.009063,Operation Activity,P.1072420,O.1072420.01,A.1072420.01.02,Amplitude Energy | TSX Equinox | Elanora 1 ST1,AMPLITUDE ENERGY LTD,TRANSOCEAN EQUINOX,New Burn WL,,WL Evaluation Services
J.25.101963,Operation Activity,P.1072334,O.1072334.01,A.1072334.01.01,(Transferred) Origin Dedicated OH July 2025,ORIGIN ENERGY UPSTREAM OPERATOR PTY LTD,SAVANNA DRILLING #449,Port Moresby WL,,WL Evaluation Services
J.25.096237,Operation Activity,P.1071946,O.1071946.01,A.1071946.01.01,JULA-J,WOODSIDE ENERGY LTD,TRANSOCEAN ENDURANCE,AUS West Coast WS,,WS Production Services
J.25.093316,Operation Activity,P.1071713,O.1071713.01,A.1071713.01.01,Sundagas_V247_12.25in OH,"SUNDAGAS BANDA UNIPESSOAL, LDA",VALARIS 247,New Burn WL,,WL Evaluation Services
J.25.089597,Operation Activity,P.1070590,O.1070590.01,A.1070590.01.01,BEL | TSX Equinox | WLES | Hercules-1,BEACH ENERGY LTD,TRANSOCEAN EQUINOX,New Burn WL,,WL Evaluation Services
J.25.114677,Operation Activity,P.1070590,O.1070590.01,A.1070590.01.03,BEL | TSX Equinox | WLPS EPLG - Thylacine 1,BEACH ENERGY LTD,TRANSOCEAN EQUINOX,New Burn WL,,WL Production Services
J.25.092107,Operation Activity,P.1070590,O.1070590.01,A.1070590.01.02,BEL | TSX Equinox | WLPS EPLG - Geographe 1,BEACH ENERGY LTD,TRANSOCEAN EQUINOX,New Burn WL,,WL Production Services
J.25.127201,Operation Activity,P.1070205,O.1070205.01,A.1070205.01.02,Slim Epilogue Tuna Wells,ESSO AUSTRALIA LTD,TUNA,New Burn WL,,WL Production Services
J.25.143265,Operation Activity,P.1070205,O.1070205.01,A.1070205.01.03,ESSO Rigless,ESSO AUSTRALIA LTD,TUNA,New Burn WL,,WL Production Services
J.25.074217,Operation Activity,P.1070205,O.1070205.01,A.1070205.01.01,Slim Epilogue Wells,ESSO AUSTRALIA LTD,TUNA,New Burn WL,,WL Production Services
J.25.100067,Operation Activity,P.1070123,O.1070123.01,A.1070123.01.04,Muzic Essington-1,CONOCOPHILLIPS AUSTRALIA SH2 PTY LTD,TRANSOCEAN EQUINOX,APG TS,,TS Downhole Reservoir Testing
J.25.088430,Operation Activity,P.1070123,O.1070123.01,A.1070123.01.01,DST Essington-1,CONOCOPHILLIPS AUSTRALIA SH2 PTY LTD,TRANSOCEAN EQUINOX,APG TS,,TS Downhole Reservoir Testing
J.25.100066,Operation Activity,P.1070123,O.1070123.01,A.1070123.01.02,TCP Essington-1,CONOCOPHILLIPS AUSTRALIA SH2 PTY LTD,TRANSOCEAN EQUINOX,APG TS,,TCP - Tubing-Conveyed Perforation
J.25.100063,Operation Activity,P.1070123,O.1070123.01,A.1070123.01.03,RSA Essington-1,CONOCOPHILLIPS AUSTRALIA SH2 PTY LTD,TRANSOCEAN EQUINOX,APG TS,,TS Downhole Reservoir Testing
J.25.073123,Operation Activity,P.1070118,O.1070118.01,A.1070118.01.01,WARREGO | EP-512 | WLES,WARREGO ENERGY PTY LTD,SILVER CITY RIG 24,New Burn WL,,WL Evaluation Services
J.26.002031,Operation Activity,P.1069546,O.1069546.01,A.1069546.01.01,Non HC Intervention,SHELL AUSTRALIA PTY LTD.,,New Burn WL,,WL Production Services
J.25.064322,Operation Activity,P.1069123,O.1069123.01,A.1069123.01.01,KP | BECOS-1 | WLES,KEY PETROLEUM (AUST) PTY LTD (L7),SILVER CITY RIG 24,New Burn WL,,WL Evaluation Services
J.25.102029,Operation Activity,P.1069095,O.1069095.01,A.1069095.01.03,AJ Lucas Surat Basin Well 1,AJ LUCAS SERVICES PTY LTD,VENTIA 33,Roma WL,,WL Evaluation Services
J.25.057271,Operation Activity,P.1069095,O.1069095.01,A.1069095.01.01,Surat Basin Well 1,AJ LUCAS SERVICES PTY LTD,VENTIA 33,Roma WL,,WL Evaluation Services
J.25.059710,Operation Activity,P.1069095,O.1069095.01,A.1069095.01.02,Surat Basin Well 2,AJ LUCAS SERVICES PTY LTD,VENTIA 33,Roma WL,,WL Evaluation Services
J.25.102026,Operation Activity,P.1069094,O.1069094.01,A.1069094.01.04,Killanoola-2,CONDOR ENERGY SERVICES LTD,CONDOR RIG 1,Roma WL,,WL Evaluation Services
J.25.102027,Operation Activity,P.1069094,O.1069094.01,A.1069094.01.05,Tasmania Project,CONDOR ENERGY SERVICES LTD,CONDOR RIG 1,Roma WL,,WL Evaluation Services
J.25.087849,Operation Activity,P.1069094,O.1069094.01,A.1069094.01.02,Wilson River-1 CH,CONDOR ENERGY SERVICES LTD,CONDOR RIG 1,Roma WL,,WL Evaluation Services
J.25.102025,Operation Activity,P.1069094,O.1069094.01,A.1069094.01.03,Penola Project (SA),CONDOR ENERGY SERVICES LTD,CONDOR RIG 1,Roma WL,,WL Evaluation Services
J.25.057263,Operation Activity,P.1069094,O.1069094.01,A.1069094.01.01,Condor Eromanga Exploration Well,CONDOR ENERGY SERVICES LTD,CONDOR RIG 1,Roma WL,,WL Evaluation Services
J.25.055543,Operation Activity,P.1068929,O.1068929.01,A.1068929.01.01,"WHEATSTONE DEEP-1| 8.5""| CVX| NOBLE APEX",CHEVRON APG ABU PERTH.,OCEAN APEX,New Burn WL,,WL Evaluation Services
J.25.055792,Operation Activity,P.1068929,O.1068929.01,A.1068929.01.02,DINO SOUTH-1| CVX | NOBLE APEX,CHEVRON APG ABU PERTH.,OCEAN APEX,New Burn WL,,WL Evaluation Services
J.25.110526,Operation Activity,P.1068929,O.1068929.01,A.1068929.01.03,"WHEATSTONE DEEP-1| 12.25""| CVX| NOBEL APEX",CHEVRON APG ABU PERTH.,OCEAN APEX,New Burn WL,,WL Evaluation Services
J.25.073023,Operation Activity,P.1068871,O.1068871.01,A.1068871.01.01,Esso Hides F2 TCP,EXXONMOBIL PNG LIMITED,NABORS 702,Port Moresby TS,,TCP - Tubing-Conveyed Perforation
J.25.143271,Operation Activity,P.1068821,O.1068821.01,A.1068821.01.04,Woodside Endurance PLACEHOLDER,WOODSIDE ENERGY GLOBAL PTY LTD,TRANSOCEAN EQUINOX,New Burn WL,,WL Production Services
J.25.102766,Operation Activity,P.1068821,O.1068821.01,A.1068821.01.02,Minerva 3,WOODSIDE ENERGY GLOBAL PTY LTD,TRANSOCEAN EQUINOX,New Burn WL,,WL Production Services
J.25.107812,Operation Activity,P.1068821,O.1068821.01,A.1068821.01.03,Minerva-3 Interwell DECT CBL,WOODSIDE ENERGY GLOBAL PTY LTD,TRANSOCEAN EQUINOX,New Burn WL,,WL Production Services
J.25.055012,Operation Activity,P.1068821,O.1068821.01,A.1068821.01.01,"Minerva 1, 3 & 4",WOODSIDE ENERGY GLOBAL PTY LTD,TRANSOCEAN EQUINOX,New Burn WL,,WL Production Services
J.25.049681,Operation Activity,P.1068359,O.1068359.01,A.1068359.01.01,ConocoPhillips | TSX Equinox | WLES | Essington-1,CONOCOPHILLIPS AUSTRALIA SH2 PTY LTD,TRANSOCEAN EQUINOX,New Burn WL,,WL Evaluation Services
J.25.138500,Operation Activity,P.1068359,O.1068359.01,A.1068359.01.03,ConocoPhillips | TSX Equinox | WLES | Charlemont-1,CONOCOPHILLIPS AUSTRALIA SH2 PTY LTD,TRANSOCEAN EQUINOX,New Burn WL,,WL Evaluation Services
J.25.101827,Operation Activity,P.1068359,O.1068359.01,A.1068359.01.02,ConocoPhillips | TSX Equinox | WLES | Charlemont-1,CONOCOPHILLIPS AUSTRALIA SH2 PTY LTD,TRANSOCEAN EQUINOX,New Burn WL,,WL Evaluation Services
J.25.143260,Operation Activity,P.1065903,O.1065903.01,A.1065903.01.05,Q1 Chevron Epilogue Activity,CHEVRON APG ABU PERTH.,VENTIA 19,New Burn WL,,WL Production Services
J.25.151402,Operation Activity,P.1065903,O.1065903.01,A.1065903.01.06,Slotted Casing Std Epilogue,CHEVRON APG ABU PERTH.,VENTIA 19,New Burn WL,,WL Production Services
J.25.103386,Operation Activity,P.1065903,O.1065903.01,A.1065903.01.03,Slim Epilogue Q4 activity,CHEVRON APG ABU PERTH.,VENTIA 19,New Burn WL,,WL Production Services
J.25.102466,Operation Activity,P.1065903,O.1065903.01,A.1065903.01.02,Q3 Activity,CHEVRON APG ABU PERTH.,VENTIA 19,New Burn WL,,WL Production Services
J.25.130986,Operation Activity,P.1065903,O.1065903.01,A.1065903.01.04,Std Epilogue Wells,CHEVRON APG ABU PERTH.,VENTIA 19,New Burn WL,,WL Production Services
J.25.092838,Operation Activity,P.1065903,O.1065903.01,A.1065903.01.01,Validation Ops 1,CHEVRON APG ABU PERTH.,VENTIA 19,New Burn WL,,WL Production Services
J.25.026340,Operation Activity,P.1065473,O.1065473.01,A.1065473.01.01,P&A Wells,STRIKE ENERGY LIMITED,,Roma WL,,WL Production Services
J.25.026943,Operation Activity,P.1065036,O.1065036.01,A.1065036.01.01,RST Gas Annulus Logging,WOODSIDE ENERGY JULIMAR PTY LTD,,New Burn WL,,WL Production Services
J.24.179693,Operation Activity,P.1064651,O.1064651.01,A.1064651.01.01,Tillbrook-11 OH,AIRLIE ENERGY PTY LTD,SILVER CITY RIG 24,Roma WL,,WL Evaluation Services
J.26.013285,Operation Activity,P.1064323,O.1064323.01,A.1064323.01.06,Crux CIRP operations,SHELL AUSTRALIA PTY LTD.,RIGLESS - AUSTRALIA,APG TS,,TCP - Tubing-Conveyed Perforation
J.25.155064,Operation Activity,P.1064323,O.1064323.01,A.1064323.01.03,TCP Crux,SHELL AUSTRALIA PTY LTD.,RIGLESS - AUSTRALIA,APG TS,,TCP - Tubing-Conveyed Perforation
J.25.104077,Operation Activity,P.1064323,O.1064323.01,A.1064323.01.02,TCP Crux,SHELL AUSTRALIA PTY LTD.,RIGLESS - AUSTRALIA,APG TS,,TCP - Tubing-Conveyed Perforation
J.25.020416,Operation Activity,P.1064323,O.1064323.01,A.1064323.01.01,TCP Crux,SHELL AUSTRALIA PTY LTD.,RIGLESS - AUSTRALIA,APG TS,,TCP - Tubing-Conveyed Perforation
J.25.020410,Operation Activity,P.1064319,O.1064319.01,A.1064319.01.01,TCP Operations,LOCHARD ENERGY (IONA OPERATIONS) TRUST,RIGLESS - AUSTRALIA,APG TS,,TCP - Tubing-Conveyed Perforation
J.25.101270,Operation Activity,P.1064318,O.1064318.01,A.1064318.01.02,Inpex LABR stuff,INPEX OPERATIONS AUSTRALIA PTY LTD,VALARIS 247,APG TS,,TS Laboratories
J.25.020409,Operation Activity,P.1064318,O.1064318.01,A.1064318.01.01,Sampling operations,INPEX OPERATIONS AUSTRALIA PTY LTD,VALARIS 247,APG TS,,TS Downhole Reservoir Testing
J.25.095640,Operation Activity,P.1064301,O.1064301.01,A.1064301.01.03,Skua-11 ST1_V247 Contingency,JADESTONE ENERGY (EAGLE) PTY LTD,VALARIS 247,New Burn WL,,WL Production Services
J.25.121640,Operation Activity,P.1064301,O.1064301.01,A.1064301.01.04,Skua-11_V247_ST1 P&A,JADESTONE ENERGY (EAGLE) PTY LTD,VALARIS 247,New Burn WL,,Wireline Slickline
J.25.059680,Operation Activity,P.1064301,O.1064301.01,A.1064301.01.02,Skua-11_V247_P&A SLK,JADESTONE ENERGY (EAGLE) PTY LTD,VALARIS 247,New Burn WL,,Wireline Slickline
J.25.020336,Operation Activity,P.1064301,O.1064301.01,A.1064301.01.01,Skua-11_V247 P&A,JADESTONE ENERGY (EAGLE) PTY LTD,VALARIS 247,New Burn WL,,WL Production Services
J.26.000911,Operation Activity,P.1064022,O.1064022.01,A.1064022.01.01,Crux-5,SHELL AUSTRALIA PTY LTD.,,AUS West Coast WS,,WS Well Intervention
J.26.005422,Operation Activity,P.1064022,O.1064022.01,A.1064022.01.09,Crux-4,SHELL AUSTRALIA PTY LTD.,,AUS West Coast WS,,WS Well Intervention
J.26.005423,Operation Activity,P.1064022,O.1064022.01,A.1064022.01.10,Crux-3,SHELL AUSTRALIA PTY LTD.,,AUS West Coast WS,,WS Well Intervention
J.26.002372,Operation Activity,P.1064022,O.1064022.01,A.1064022.01.11,Crux-1,SHELL AUSTRALIA PTY LTD.,,AUS West Coast WS,,WS Well Intervention
J.26.005421,Operation Activity,P.1064022,O.1064022.01,A.1064022.01.08,Crux-7,SHELL AUSTRALIA PTY LTD.,,AUS West Coast WS,,WS Well Intervention
J.25.079567,Operation Activity,P.1064022,O.1064022.01,A.1064022.01.03,DESC Charges prior project execution,SHELL AUSTRALIA PTY LTD.,,AUS West Coast WS,,WS Well Intervention
J.25.104836,Operation Activity,P.1064022,O.1064022.01,A.1064022.01.04,DESC Charge prior project execution,SHELL AUSTRALIA PTY LTD.,,AUS West Coast WS,,WS Well Intervention
J.24.174041,Operation Activity,P.1064022,O.1064022.01,A.1064022.01.02,CEC Charges prior project execution,SHELL AUSTRALIA PTY LTD.,,AUS West Coast WS,,WS Well Intervention
J.24.170476,Operation Activity,P.1063793,O.1063793.01,A.1063793.01.01,8.5 in PEX-MDT logging,BURU ENERGY LIMITED,SILVER CITY RIG 24,New Burn WL,,WL Evaluation Services
J.25.018307,Operation Activity,P.1063641,O.1063641.01,A.1063641.01.02,Blacktip P5 Operations,ENI AUSTRALIA B.V.,VALARIS 247,AUS West Coast WS,,WS Well Intervention
J.24.168565,Operation Activity,P.1063641,O.1063641.01,A.1063641.01.01,Rental Acid Equipment,ENI AUSTRALIA B.V.,VALARIS 247,AUS West Coast WS,,WS Well Intervention
