Index,Material-Plant,Plant,Geo-Unit,GEO UNIT (Profit Center),Material,Reservation -Line,Requirements Date,Creation Date,Stock On Hand - DDSC,Stock On Hand - HDSC,Last 3 Month Consumption,Last 6 Month Consumption,Last 12 Month Consumption,Material Stratification (Last 6 Month Consumption),Material Stratification (Last 12 Month Consumption),Open Qty - Reservation,Open Reservation Value,Material/Plant-SOH - Total,Primary Pegged PO-LN - Open Qty,Combined SOH & PO Pegging,Main - PO Line to Peg to Reservation,Main - PO to Peg to Reservation,Additional PO - Line to Peg,Primary Pegged PO-LN - Order Qty,Primary Pegged PO-LN - Approval Status,Primary Pegged PO-LN - RDD Date,Pegged Main PO GR Status,Pegged Main PO Invoice Status,Primary Pegged PO-LN - Invoice Qty,Post Pegging SOH Qty,Post Pegging PO Qty,Material Description,MRP Parameters - MRP Controller,MRP Parameters - Profit Center,MRP Parameters - Planned Delivery Time,MRP Parameters - Prime Status,MRP Parameters - Safety Stock,MRP Parameters - Standard Price,Business Line - By Cost Center,Sub - Business Line - By Cost Center,Business Line by Profit Center,Material/Plant-Open PO Qty - Total,Purchase Requisition - Status,Purchase Requisitions,Planned Order - Status,Planned Orders,Maximo Asset ID,Maximo Asset Num,Maximo Serial No,Reservation Creation type,WO Number,User Name,Goods recipient,Maximo - WO STATUS and Part Status,WBS Element,Cost Center,reservation_line_id,reservation_number,reservation_line_number
1,105955370-3606,3606.0,APG,APG,105955370,6086045074-3,2025-11-21,2025-11-21,,,0.0,0.0,0.0,SLOW MOVER,SLOW MOVER,6.0,23.878800000000002,,6.0,04. PO Available to Peg,4584621555-1,4584621555,,6.0,Approved,2025-12-29,Pending Full GR,PO is not Invoiced,,-6.0,0.0,"SEAL KIT - FLG EQUALIZING, ACTUATOR SEAL",ZZZ,110498.0,33.0,Non AR Part,0.0,3.9798000000000004,RPI,WIS,RPI,6.0,No Purchase Requisition,,NO PLD ORDER,,,,,SAP - MANUAL Reservation,,02950517,cnevarez2,-,,AU100022,6086045074-3,6086045074,3
1,106048280-3606,3606.0,APG,APG,106048280,6086045074-4,2025-11-21,2025-11-21,,,0.0,0.0,0.0,SLOW MOVER,SLOW MOVER,4.0,1356.5088,,4.0,04. PO Available to Peg,4584629730-1,4584629730,,4.0,Approved,2025-12-31,Pending Full GR,PO is not Invoiced,,-4.0,0.0,Equalizer valve body ,ZZZ,110498.0,33.0,Non AR Part,0.0,339.1272,RPI,WIS,RPI,4.0,No Purchase Requisition,,NO PLD ORDER,,,,,SAP - MANUAL Reservation,,02950517,cnevarez2,-,,AU100022,6086045074-4,6086045074,4
1,B012579-3606,3606.0,APG,APG,B012579,6086029790-3,2025-11-21,2025-11-21,754.0,65.0,30.0,60.0,148.0,REPEATER,REPEATER,20.0,31.8,27.0,,01. SOH Available to Peg,,,,,,,,,,7.0,0.0,"O-RING;229,2.359 IN,0.139 IN,FKM,95A",WM1,110746.0,21.0,AR Part,9.0,2.0569,RPE,WLES,WCM,10.0,No Purchase Requisition,,NO PLD ORDER,,,,,SAP - MANUAL Reservation,,02307312,FHERWANTO,-,,AU100070,6086029790-3,6086029790,3
1,B030732-3606,3606.0,APG,APG,B030732,6086029790-1,2025-11-21,2025-11-21,1066.0,56.0,0.0,0.0,0.0,SLOW MOVER,SLOW MOVER,10.0,11.122,,,05. No PO Available to Peg,,,,,,,,,,-10.0,0.0,"RETAINING RING,INT,BASIC 0.688  BORE SS~",ZZZ,110516.0,21.0,Non AR Part,0.0,1.1122,RPE,WLES,RPE,0.0,No Purchase Requisition,,NO PLD ORDER,,,,,SAP - MANUAL Reservation,,02307312,FHERWANTO,-,,AU100070,6086029790-1,6086029790,1
1,E019328-3610,3610.0,APG,APG,E019328,6086037705-1,2026-02-19,2025-11-21,14.0,,0.0,0.0,0.0,SLOW MOVER,SLOW MOVER,10.0,33.5,,,05. No PO Available to Peg,,,,,,,,,,-10.0,0.0,RES 0.1ohm 1% 3W AXIAL WIREWOUND RoHS,ZZZ,110740.0,265.0,Non AR Part,0.0,3.35,RPE,WLES,RPI,0.0,No Purchase Requisition,,NO PLD ORDER,,,,,MAXIMO,1050585536,SYS-MAXIMO,06296636,-,,AU100307,6086037705-1,6086037705,1
1,H114228-3650,3650.0,APG,APG,H114228,6086029464-2,2025-11-21,2025-11-21,18.0,3.0,0.0,0.0,1.0,SLOW MOVER,STRANGER,1.0,1921.9825,,,04. PO Available to Peg,4584631687-1,4584631687,,,,,Pending Full GR,PO is not Invoiced,,-1.0,0.0,"HANGER, SHEAVE, 24,000 SWL",ZZZ,110945.0,14.0,Non AR Part,0.0,0.0,RPE,WLES,RPE,1.0,No Purchase Requisition,,NO PLD ORDER,,,,,SAP - MANUAL Reservation,M: RIG UP,05867015,ckok3,-,,NZ100028,6086029464-2,6086029464,2
1,T5011076-3650,3650.0,APG,APG,T5011076,6086029464-1,2025-11-21,2025-11-21,19.0,6.0,0.0,0.0,0.0,SLOW MOVER,SLOW MOVER,1.0,2377.61,,,04. PO Available to Peg,4584631687-2,4584631687,,,,,Pending Full GR,PO is not Invoiced,,-1.0,0.0,"SLING SAFETY, 12FT, SINGLE PATH, 50,000~",ZZZ,110945.0,14.0,Non AR Part,0.0,2702.7288,RPE,WLES,RPE,1.0,No Purchase Requisition,,NO PLD ORDER,,,,,SAP - MANUAL Reservation,M: RIG UP,05867015,ckok3,-,,NZ100028,6086029464-1,6086029464,1
2,101305120-3606,3606.0,APG,APG,101305120,6086029477-12,2026-02-19,2025-11-21,,,0.0,0.0,0.0,SLOW MOVER,SLOW MOVER,2.0,430.18,1.0,,05. No PO Available to Peg,,,,,,,,,,-2.0,0.0,"BRUSH, CABLE COATING NOZZLE, CCCS",ZZZ,110516.0,116.0,Non AR Part,0.0,242.60700000000003,RPE,WLES,RPE,0.0,No Purchase Requisition,,NO PLD ORDER,,,,,MAXIMO,1050503714,SYS-MAXIMO,06296636,-,,AU100070,6086029477-12,6086029477,12
2,101305121-3606,3606.0,APG,APG,101305121,6086029477-13,2026-02-19,2025-11-21,,,0.0,0.0,0.0,SLOW MOVER,SLOW MOVER,2.0,512.5,1.0,,05. No PO Available to Peg,,,,,,,,,,-2.0,0.0,"BRUSH, CABLE COATING STRAIGHT, CABLE DI~",ZZZ,110516.0,88.0,Non AR Part,0.0,295.8519,RPE,WLES,RPE,0.0,No Purchase Requisition,,NO PLD ORDER,,,,,MAXIMO,1050503714,SYS-MAXIMO,06296636,-,,AU100070,6086029477-13,6086029477,13
2,101587158-3606,3606.0,APG,APG,101587158,6086029477-11,2026-02-19,2025-11-21,,,0.0,0.0,0.0,SLOW MOVER,SLOW MOVER,2.0,124.72,1.0,,05. No PO Available to Peg,,,,,,,,,,-2.0,0.0,"SET, CABLE COATING GUIDE BUSHING, .395""~",ZZZ,110516.0,81.0,Non AR Part,0.0,71.5761,RPE,WLES,RPE,0.0,No Purchase Requisition,,NO PLD ORDER,,,,,MAXIMO,1050503714,SYS-MAXIMO,06296636,-,,AU100070,6086029477-11,6086029477,11
2,101587159-3606,3606.0,APG,APG,101587159,6086029477-10,2026-02-19,2025-11-21,,,0.0,0.0,0.0,SLOW MOVER,SLOW MOVER,2.0,133.82,1.0,,05. No PO Available to Peg,,,,,,,,,,-2.0,0.0,"SET, CABLE COATING GUIDE BUSHING, .482""~",ZZZ,110516.0,99.0,Non AR Part,0.0,77.2711,RPE,WLES,RPE,0.0,No Purchase Requisition,,NO PLD ORDER,,,,,MAXIMO,1050503714,SYS-MAXIMO,06296636,-,,AU100070,6086029477-10,6086029477,10
2,101587160-3606,3606.0,APG,APG,101587160,6086029477-9,2026-02-19,2025-11-21,,,0.0,0.0,0.0,SLOW MOVER,SLOW MOVER,1.0,84.5,1.0,,05. No PO Available to Peg,,,,,,,,,,-1.0,0.0,"SET, CABLE COATING GUIDE BUSHING, .505""~",ZZZ,110516.0,89.0,Non AR Part,0.0,97.5788,RPE,WLES,RPE,0.0,No Purchase Requisition,,NO PLD ORDER,,,,,MAXIMO,1050503714,SYS-MAXIMO,06296636,-,,AU100070,6086029477-9,6086029477,9
2,101587161-3606,3606.0,APG,APG,101587161,6086029477-8,2026-02-19,2025-11-21,,,0.0,0.0,0.0,SLOW MOVER,SLOW MOVER,1.0,84.51,1.0,,05. No PO Available to Peg,,,,,,,,,,-1.0,0.0,"SET, CABLE COATING GUIDE BUSHING, .520""~",ZZZ,110516.0,88.0,Non AR Part,0.0,97.5922,RPE,WLES,RPE,0.0,No Purchase Requisition,,NO PLD ORDER,,,,,MAXIMO,1050503714,SYS-MAXIMO,06296636,-,,AU100070,6086029477-8,6086029477,8
2,101713138-3606,3606.0,APG,APG,101713138,6086029477-3,2026-02-19,2025-11-21,21.0,4.0,0.0,0.0,0.0,SLOW MOVER,SLOW MOVER,3.0,116.49,1.0,,05. No PO Available to Peg,,,,,,,,,,-3.0,0.0,"INSERT, AIR ONLY, 15/32"" SIZE RANGE 0.4~",ZZZ,110516.0,53.0,Non AR Part,0.0,44.3272,RPE,WLES,RPE,0.0,No Purchase Requisition,,NO PLD ORDER,,,,,MAXIMO,1050503714,SYS-MAXIMO,06296636,-,,AU100070,6086029477-3,6086029477,3
2,101713141-3606,3606.0,APG,APG,101713141,6086029477-2,2026-02-19,2025-11-21,,,0.0,0.0,0.0,SLOW MOVER,SLOW MOVER,1.0,35.63,1.0,,05. No PO Available to Peg,,,,,,,,,,-1.0,0.0,"INSERT, AIR ONLY, 9/16"" SIZE RANGE 0.53~",ZZZ,110516.0,116.0,Non AR Part,0.0,40.2201,RPE,WLES,RPE,0.0,No Purchase Requisition,,NO PLD ORDER,,,,,MAXIMO,1050503714,SYS-MAXIMO,06296636,-,,AU100070,6086029477-2,6086029477,2
2,101713143-3606,3606.0,APG,APG,101713143,6086029477-4,2026-02-19,2025-11-21,3.0,5.0,0.0,0.0,0.0,SLOW MOVER,SLOW MOVER,1.0,159.67,1.0,,05. No PO Available to Peg,,,,,,,,,,-1.0,0.0,"BRUSH, SPIRAL CABLE SIZE RANGE .320"" - ~",ZZZ,110516.0,99.0,Non AR Part,0.0,184.35720000000003,RPE,WLES,RPE,0.0,No Purchase Requisition,,NO PLD ORDER,,,,,MAXIMO,1050503714,SYS-MAXIMO,06296636,-,,AU100070,6086029477-4,6086029477,4
2,101713144-3606,3606.0,APG,APG,101713144,6086029477-5,2026-02-19,2025-11-21,10.0,3.0,0.0,0.0,0.0,SLOW MOVER,SLOW MOVER,2.0,305.08,2.0,,05. No PO Available to Peg,,,,,,,,,,-2.0,0.0,"BRUSH, SPIRAL CABLE SIZE RANGE .460"" - ~",ZZZ,110516.0,18.0,Non AR Part,0.0,179.80120000000002,RPE,WLES,RPE,0.0,No Purchase Requisition,,NO PLD ORDER,,,,,MAXIMO,1050503714,SYS-MAXIMO,06296636,-,,AU100070,6086029477-5,6086029477,5
2,101943388-3606,3606.0,APG,APG,101943388,6086029477-6,2026-02-19,2025-11-21,14.0,1.0,0.0,0.0,6.0,SLOW MOVER,STRANGER,7.0,5546.52,3.0,,05. No PO Available to Peg,,,,,,,,,,-10.0,0.0,"PRELUBE, 5 GALLON PAIL, CORROSION INHIB~",ZZZ,110516.0,46.0,Non AR Part,0.0,844.736,RPE,WLES,RPE,0.0,No Purchase Requisition,,PLANNED ORDER Available Convert to Purchase Requisition,1028867359,,,,MAXIMO,1050503714,SYS-MAXIMO,06296636,-,,AU100070,6086029477-6,6086029477,6
2,106013225-3606,3606.0,APG,APG,106013225,6086045074-1,2025-11-21,2025-11-21,,,0.0,0.0,0.0,SLOW MOVER,SLOW MOVER,2.0,1840.7312000000002,,,05. No PO Available to Peg,,,,,,,,,,-4.0,,1174701-150 - SLIP INSERT,ZZZ,110744.0,33.0,Non AR Part,0.0,920.3656000000001,RPI,WIS,RPS,2.0,No Purchase Requisition,,NO PLD ORDER,,,,,SAP - MANUAL Reservation,,02950517,cnevarez2,-,,AU100022,6086045074-1,6086045074,1
3,101936234-3606,3606.0,APG,APG,101936234,6086029477-1,2026-02-19,2025-11-21,1308.0,1308.0,0.0,0.0,0.0,SLOW MOVER,SLOW MOVER,436.0,5110.6612000000005,,,05. No PO Available to Peg,,,,,,,,,,-1308.0,,OLL 52.5 Corrosion Inhibitor,ZZZ,110516.0,46.0,AR Part,0.0,12.133700000000001,RPE,WLES,RPE,872.0,No Purchase Requisition,,PLANNED ORDER Available Convert to Purchase Requisition,1033287340 | 1034735256,,,,MAXIMO,1050503714,SYS-MAXIMO,06296636,-,,AU100070,6086029477-1,6086029477,1
1,100098816-3606,3606.0,APG,APG,100098816,6085991085-1,2025-11-20,2025-11-20,4.0,1.0,0.0,0.0,0.0,SLOW MOVER,SLOW MOVER,1.0,3193.2945,,1.0,04. PO Available to Peg,4584622158-1,4584622158,,1.0,Approved,2025-11-15,Pending Full GR,PO is not Invoiced,,-1.0,0.0,"SLEEVE;WEAR BND,COLLAR,ARC8,UD1T8,7.85",WM1,110746.0,18.0,Non AR Part,0.0,4021.1926,RPE,LABR,WCM,1.0,No Purchase Requisition,,NO PLD ORDER,,,,,SAP - MANUAL Reservation,M:,00773879,Manh,-,,AU100008,6085991085-1,6085991085,1
1,100315683-3650,3650.0,APG,APG,100315683,6086026441-1,2025-11-21,2025-11-20,10.0,1.0,0.0,0.0,0.0,SLOW MOVER,SLOW MOVER,2.0,1252.9828,,,04. PO Available to Peg,4584631687-3,4584631687,,,,,Pending Full GR,PO is not Invoiced,,-2.0,0.0,ASSY OUTER LEAF CMSB-FA,ZZZ,110945.0,18.0,Non AR Part,0.0,626.4914,RPE,WLES,RPE,2.0,No Purchase Requisition,,NO PLD ORDER,,,,,SAP - MANUAL Reservation,M: CMSB,05867015,ckok3,-,,NZ100028,6086026441-1,6086026441,1
1,100573422-3606,3606.0,APG,APG,100573422,6085973138-1,2025-12-25,2025-11-20,,,0.0,0.0,0.0,SLOW MOVER,SLOW MOVER,30.0,15.276,,30.0,04. PO Available to Peg,4584632343-1,4584632343,,30.0,Approved,2025-12-17,Pending Full GR,PO is not Invoiced,,-30.0,0.0,"SCREW, BTN HD CAP 8-32 X 1/4 SST HEX AS~",ZZZ,110516.0,69.0,Non AR Part,0.0,0.5092,RPE,WLES,RPE,30.0,No Purchase Requisition,,NO PLD ORDER,,,,,MAXIMO,1051414268,SYS-MAXIMO,80080752,-,,AU100070,6085973138-1,6085973138,1
1,100932201-3650,3650.0,APG,APG,100932201,6086026441-2,2025-11-21,2025-11-20,,,0.0,0.0,0.0,SLOW MOVER,SLOW MOVER,2.0,1041.6,,,05. No PO Available to Peg,,,,,,,,,,-2.0,0.0,SINGLE INNER LEAF,ZZZ,110945.0,221.0,Non AR Part,0.0,520.8,RPE,WLES,RPE,0.0,No Purchase Requisition,,NO PLD ORDER,,,,,SAP - MANUAL Reservation,M: CMSB,05867015,ckok3,-,,NZ100028,6086026441-2,6086026441,2
1,102788822-3606,3606.0,APG,APG,102788822,6085973294-1,2026-01-01,2025-11-20,18.0,4.0,0.0,0.0,0.0,SLOW MOVER,SLOW MOVER,4.0,61047.4564,,,05. No PO Available to Peg,,,,,,,,,,-4.0,0.0,"DPA7-AAB, DUAL PACKER, TYPE A, 7IN",ZZZ,110516.0,21.0,Non AR Part,0.0,15798.318600000002,,,RPE,0.0,No Purchase Requisition,,NO PLD ORDER,,,,,SAP - MANUAL Reservation,,05197298,KKEESE,-,J.26.014680,,6085973294-1,6085973294,1
1,103679092-3606,3606.0,APG,APG,103679092,6085973156-1,2025-11-20,2025-11-20,29.0,13.0,0.0,0.0,0.0,SLOW MOVER,SLOW MOVER,10.0,1574.5000000000002,,10.0,04. PO Available to Peg,4584632353-2,4584632353,,10.0,Approved,2025-11-15,Pending Full GR,PO is not Invoiced,,-10.0,0.0,"PIN, PIVOT, 4 ARM CENTRALIZER",ZZZ,110516.0,129.0,Non AR Part,0.0,157.45000000000002,RPE,WLES,RPE,10.0,No Purchase Requisition,,NO PLD ORDER,,,,,SAP - MANUAL Reservation,M:,02832673,harsh,-,,AU100070,6085973156-1,6085973156,1
1,B013403-3606,3606.0,APG,APG,B013403,6085972658-1,2025-11-20,2025-11-20,204.0,,0.0,0.0,10.0,SLOW MOVER,STRANGER,50.0,102.265,,50.0,04. PO Available to Peg,4584619707-1,4584619707,,50.0,Approved,2025-11-15,Pending Full GR,PO is not Invoiced,,-50.0,0.0,"RETAINING RING, EXT 1.188 SHAFT SST MED~",005,110516.0,21.0,AR Part,0.0,2.1172000000000004,RPI,WLPS,RPE,50.0,No Purchase Requisition,,NO PLD ORDER,,,,,SAP - MANUAL Reservation,M: BARROW,00869610,jpereira11,-,,AU100063,6085972658-1,6085972658,1
1,B029250-3606,3606.0,APG,APG,B029250,6085973138-2,2025-12-25,2025-11-20,,,0.0,0.0,0.0,SLOW MOVER,SLOW MOVER,30.0,30.150000000000002,,50.0,04. PO Available to Peg,4584632348-1,4584632348,,50.0,Approved,2025-12-20,Pending Full GR,PO is not Invoiced,,-30.0,20.0,"SCREW, SKT HD CAP 4-40 X 1-3/4 SST/A2-5~",ZZZ,110516.0,80.0,Non AR Part,0.0,1.0050000000000001,RPE,WLES,RPE,50.0,No Purchase Requisition,,NO PLD ORDER,,,,,MAXIMO,1051414268,SYS-MAXIMO,80080752,-,,AU100070,6085973138-2,6085973138,2
1,E019328-3606,3606.0,APG,APG,E019328,6086009189-1,2025-11-20,2025-11-20,14.0,,0.0,0.0,10.0,SLOW MOVER,STRANGER,10.0,35.987,,10.0,04. PO Available to Peg,4584632348-2,4584632348,,10.0,Approved,2025-11-15,Pending Full GR,PO is not Invoiced,,-10.0,0.0,RES 0.1ohm 1% 3W AXIAL WIREWOUND RoHS,ZZZ,110516.0,255.0,Non AR Part,0.0,3.7252,RPE,WLES,RPE,10.0,No Purchase Requisition,,NO PLD ORDER,,,,,SAP - MANUAL Reservation,M: MRPA FCO31,00821967,SANTOSO,-,,AU100070,6086009189-1,6086009189,1
1,100323783-3610,3610.0,APG,APG,100323783,6085915834-3,2025-11-19,2025-11-19,2.0,2.0,0.0,2.0,2.0,STRANGER,STRANGER,4.0,39736.44,,,06. No PO Available to Peg fully (Only Partial available,,,2-Convert Planned Orders for additional Supply Pegging,,,,,,,-4.0,,CELL:LOAD;DRY,ZZZ,110516.0,18.0,Non AR Part,0.0,10283.294000000002,RPE,WLES,RPE,2.0,No Purchase Requisition,,NO PLD ORDER,,,,,SAP - MANUAL Reservation,,05867015,ckok3,-,,AU100307,6085915834-3,6085915834,3
1,100364485-3606,3606.0,APG,APG,100364485,6085915884-9,2025-11-19,2025-11-19,11.0,,0.0,0.0,0.0,SLOW MOVER,SLOW MOVER,2.0,191.3788,,,05. No PO Available to Peg,,,,,,,,,,-2.0,0.0,O-RING INSTALLATION & EXTRACTION TOOLS,ZZZ,110516.0,18.0,Non AR Part,0.0,95.6894,RPE,WLES,RPE,0.0,No Purchase Requisition,,NO PLD ORDER,,,,,SAP - MANUAL Reservation,,80058047,Poonam,-,,AU100070,6085915884-9,6085915884,9
1,100499417-3606,3606.0,APG,APG,100499417,6085924425-1,2025-11-28,2025-11-19,100.0,,0.0,0.0,100.0,SLOW MOVER,STRANGER,100.0,72.49,,,05. No PO Available to Peg,,,,,,,,,,-100.0,0.0,"SCREW, SKT HD CAP 2-56 X 1/4 STL 12.9 A~",WM1,110746.0,134.0,Non AR Part,0.0,0.7504000000000001,RPE,LABR,WCM,0.0,No Purchase Requisition,,NO PLD ORDER,,,,,SAP - MANUAL Reservation,M: CAT3/GVR4,02838753,Jerico,-,,AU100008,6085924425-1,6085924425,1
1,101491929-3606,3606.0,APG,APG,101491929,6085915884-13,2025-11-19,2025-11-19,,,0.0,0.0,0.0,SLOW MOVER,SLOW MOVER,2.0,372.39940000000007,,,05. No PO Available to Peg,,,,,,,,,,-2.0,0.0,PROTECTIVE WASHER,ZZZ,110516.0,161.0,Non AR Part,0.0,186.19970000000004,RPE,WLES,RPE,0.0,No Purchase Requisition,,NO PLD ORDER,,,,,SAP - MANUAL Reservation,,80058047,Poonam,-,,AU100070,6085915884-13,6085915884,13
1,101738059-3610,3610.0,APG,APG,101738059,6085915834-1,2025-11-19,2025-11-19,8.0,3.0,0.0,0.0,0.0,SLOW MOVER,SLOW MOVER,4.0,597.8812,,,04. PO Available to Peg,4584631685-8,4584631685,,,,,Pending Full GR,PO is not Invoiced,,-4.0,0.0,"FINGER GUARD, 24"" SHEAVE WHEEL",ZZZ,110516.0,18.0,Non AR Part,0.0,149.4703,RPE,WLES,RPE,4.0,No Purchase Requisition,,NO PLD ORDER,,,,,SAP - MANUAL Reservation,,05867015,ckok3,-,,AU100307,6085915834-1,6085915834,1
